Period, Reward, Time
6440, -733.6652374267578, 0.0010235309600830078
6460, -1467.6183319091797, 0.004232645034790039
6480, -1711.104507446289, 0.007359504699707031
6500, -2066.84871673584, 63.620696783065796
6520, -5560.7037353515625, 222.1989140510559
6540, -5053.833427429199, 381.1625506877899
6560, -4820.616874694824, 540.8446314334869
6580, -5376.410140991211, 700.1521980762482
6600, -6053.29891204834, 859.9111132621765
6620, -5177.950401306152, 1015.0899639129639
6640, -2624.9535369873047, 1168.1283831596375
6660, -1582.3918151855469, 1321.6982922554016
6680, 4987.09342956543, 
6440, 50.116310119628906, 1560.2655401229858
6460, 683.3123016357422, 1714.2011206150055
6480, 1671.6775131225586, 1867.9513823986053
6500, 3614.6117401123047, 2022.123316526413
6520, -125.71693420410156, 2177.0178232192993
6540, 3256.267318725586, 2331.5620794296265
6560, 3460.1819229125977, 2486.6488933563232
6580, 4749.631462097168, 2641.710932970047
6600, 9120.785522460938, 2797.7799882888794
6620, 15212.558326721191, 2953.3498711586
6640, 25886.622924804688, 3109.0448713302612
6660, 28760.255012512207, 3265.064359664917
6680, 46944.31735992432, 
6440, 59.764137268066406, 3507.4394977092743
6460, 791.38916015625, 3664.2837450504303
6480, 1815.3452682495117, 3821.086730480194
6500, 4387.568206787109, 3980.8029940128326
6520, 142.9901885986328, 4138.276814460754
6540, 3541.445083618164, 4296.02333855629
6560, 4337.559127807617, 4453.314564704895
6580, 5786.427001953125, 4611.388503074646
6600, 10673.485832214355, 4771.177576303482
6620, 17408.914642333984, 4932.207562923431
6640, 29791.650886535645, 5095.605845212936
6660, 32850.516929626465, 5260.444524049759
6680, 53149.81243133545, 